coefficient_name,value,constrain
bike_ASC_auto_sufficient_univ,-999.0,T
bike_ASC_no_auto_univ,-0.8098115591397274,F
knr_transit_ASC_auto_deficient_univ,-1.8725667606284593,F
knr_transit_ASC_auto_sufficient_univ,-3.6411091328116783,F
knr_transit_ASC_no_auto_univ,-999.0,T
pnr_transit_ASC_auto_deficient_univ,-0.5065213803682722,F
pnr_transit_ASC_auto_sufficient_univ,-1.595229309620819,F
pnr_transit_ASC_no_auto_univ,-999.0,T
sr2_ASC_auto_deficient_univ,0.2948866435020587,F
sr2_ASC_auto_sufficient_univ,-0.11546678286648587,F
sr2_ASC_no_auto_univ,-0.09901163272520136,F
sr3p_ASC_auto_deficient_univ,-0.19122147627735522,F
sr3p_ASC_auto_sufficient_univ,-0.20951430126489604,F
sr3p_ASC_no_auto_univ,0.62052440687722,F
taxi_ASC_auto_deficient_univ,-2.227205477537857,F
taxi_ASC_auto_sufficient_univ,-2.91736173701059,F
tnc_shared_ASC_auto_deficient_univ,-2.227205477537857,F
tnc_shared_ASC_auto_sufficient_univ,-2.91736173701059,F
tnc_shared_ASC_no_auto_univ,1.0785722165812486,F
tnc_single_ASC_auto_deficient_univ,-2.227205477537857,F
tnc_single_ASC_auto_sufficient_univ,-2.91736173701059,F
tnc_single_ASC_no_auto_univ,1.0785722165812486,F
walk_ASC_auto_deficient_univ,-1.064069601876755,F
walk_ASC_auto_sufficient_univ,-0.7440724013178855,F
walk_ASC_no_auto_univ,1.7780809356726406,F
walk_transit_ASC_auto_deficient_univ,-0.8473855056340149,F
walk_transit_ASC_auto_sufficient_univ,-0.5101466518482312,F
walk_transit_ASC_no_auto_univ,0.8742609093427282,F
bike_ASC_auto_deficient_work,-0.4075542192057989,F
bike_ASC_auto_sufficient_work,-3.1368975795805585,F
bike_ASC_no_auto_work,16.976728834680888,F
knr_transit_ASC_auto_deficient_work,-1.1375469818823203,F
knr_transit_ASC_auto_sufficient_work,-2.894651950650238,F
knr_transit_ASC_no_auto_work,21.14143998490258,F
pnr_transit_ASC_auto_deficient_work,-0.863599150156863,F
pnr_transit_ASC_auto_sufficient_work,-0.940820652505989,F
pnr_transit_ASC_no_auto_work,0.0,T
sr2_ASC_auto_deficient_work,-0.25264306782310125,F
sr2_ASC_auto_sufficient_work,-0.4128128338619216,F
sr2_ASC_no_auto_work,10.40348041879823,F
sr3p_ASC_auto_deficient_work,-1.0583856364644375,F
sr3p_ASC_auto_sufficient_work,-1.057860263539061,F
sr3p_ASC_no_auto_work,11.334351099758234,F
taxi_ASC_auto_deficient_work,-0.47994987506059184,F
taxi_ASC_auto_sufficient_work,-2.770887021934657,F
taxi_ASC_no_auto_work,15.12731752202636,F
tnc_shared_ASC_auto_deficient_work,-1.6999498750605926,F
tnc_shared_ASC_auto_sufficient_work,-4.460887021934656,F
tnc_shared_ASC_no_auto_work,14.12731752202636,F
tnc_single_ASC_auto_deficient_work,-0.11994987506059221,F
tnc_single_ASC_auto_sufficient_work,-3.350887021934656,F
tnc_single_ASC_no_auto_work,15.827317522026355,F
walk_ASC_auto_deficient_work,2.5980469161887245,F
walk_ASC_auto_sufficient_work,0.043783360039982684,F
walk_ASC_no_auto_work,19.10248908195182,F
walk_transit_ASC_auto_deficient_work,1.9181885922876973,F
walk_transit_ASC_auto_sufficient_work,-0.09203499212745747,F
walk_transit_ASC_no_auto_work,25.16758050601413,F
bike_ASC_auto_deficient_atwork,4.660614118194694,F
bike_ASC_auto_sufficient_atwork,-2.0006469041397903,F
